CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,10,PWY-5101: L-isoleucine biosynthesis II,6,PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),10,s__Faecalibacterium_prausnitzii,6
PWY-7234: inosine-5'-phosphate biosynthesis III,10,s__Butyricimonas_virosa,6,PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),10,s__Lactobacillus_gasseri,5
PWY-7235: superpathway of ubiquinol-6 biosynthesis (eukaryotic),10,s__Bifidobacterium_longum,6,PWY66-389: phytol degradation,10,s__Blautia_hydrogenotrophica,5
PWY-7279: aerobic respiration II (cytochrome c) (yeast),10,s__Allisonella_histaminiformans,6,PWY66-398: TCA cycle III (animals),10,s__Lachnospiraceae_bacterium_1_1_57FAA,5
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,10,s__Eubacterium_siraeum,6,PWY66-409: superpathway of purine nucleotide salvage,10,ALL-CHORISMATE-PWY: superpathway of chorismate metabolism,5
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",10,s__Anaerostipes_hadrus,6,s__Acidaminococcus_intestini,10,LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,5
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,10,s__Acidaminococcus_intestini,6,s__Akkermansia_muciniphila,10,PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,5
PWY-7316: dTDP-N-acetylviosamine biosynthesis,10,SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,6,s__Alistipes_finegoldii,10,s__Ruminococcus_gnavus,5
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,10,SO4ASSIM-PWY: sulfate reduction I (assimilatory),6,s__Alistipes_indistinctus,10,s__Parabacteroides_distasonis,5
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,10,s__Roseburia_intestinalis,6,s__Alistipes_putredinis,10,PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),5
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",10,s__Anaeromassilibacillus_sp_An250,6,s__Alistipes_senegalensis,10,PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),5
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",10,"PWY-7385: 1,3-propanediol biosynthesis (engineered)",6,s__Alistipes_shahii,10,s__Fusobacterium_varium,5
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",10,PWY-7204: pyridoxal 5'-phosphate salvage II (plants),6,s__Alistipes_sp_AP11,10,s__Paraprevotella_clara,5
PWY-7446: sulfoglycolysis,10,s__Phascolarctobacterium_faecium,6,s__Alistipes_sp_HGB5,10,s__Finegoldia_magna,5
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,10,PWY-6895: superpathway of thiamin diphosphate biosynthesis II,6,s__Anaerostipes_hadrus,10,s__Eubacterium_ramulus,5
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,10,s__Prevotella_corporis,6,s__Anaerotruncus_colihominis,10,PWY66-398: TCA cycle III (animals),5
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,10,s__Citrobacter_youngae,6,s__Bacteroidales_bacterium_ph8,10,s__Haemophilus_pittmaniae,5
PWY0-1338: polymyxin resistance,10,PWY-6628: superpathway of L-phenylalanine biosynthesis,6,s__Bacteroides_caccae,10,s__Bifidobacterium_animalis,5
PWY0-1533: methylphosphonate degradation I,10,PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),6,s__Bacteroides_cellulosilyticus,10,s__Streptococcus_salivarius,5
PWY0-42: 2-methylcitrate cycle I,10,s__Harryflintia_acetispora,6,s__Bacteroides_clarus,10,s__Bacteroides_salyersiae,5
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),10,s__Fusobacterium_nucleatum,6,s__Bacteroides_coprocola,10,s__Bacteroides_massiliensis,5
